frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,temporal_v2_window_full,temporal_v2_silero_median,temporal_v2_silero_min_pass,temporal_v2_silero_max_pass,temporal_v2_low_proportion_std_pass,temporal_v2_low_proportion_max_pass,temporal_v2_zcr_std_pass,temporal_v2_raw_is_whisper,temporal_v2_qualifying_run,temporal_v2_context_enabled,temporal_v2_context_high_silero_count,temporal_v2_context_active,temporal_v2_context_window_frames,temporal_v2_context_silero_threshold,temporal_v2_context_min_frames,temporal_v2_acoustic_activity,temporal_v2_acoustic_activity_ok,temporal_v2_acoustic_activity_window_frames,temporal_v2_acoustic_activity_rms_min,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,context_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
255,2026-08-25T15:19:14.893411,shadow,temporal_v2_context,silero,webrtc,False,0.00017866388952825218,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0025351592552139124,0.7132523261536542,0.22639798144560921,0.06034969200628412,,,,,,,,,,,,,,,,temporal_v2,False,0.00015741425239577917,0.23382045929018788,0.0,0.0,0.0,0.0,0.0018082082359512886,0.0005739549380235838,0.00015299608023904026,0.0,0.0,0.015613805014389411,,,0.02905106269193981,,,,,,,,,,,,,,,,,,,True,0.00023065490677254274,False,True,False,True,True,False,0,True,0,False,50,0.1,5,0.00023115840715707617,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
256,2026-08-25T15:19:14.966588,shadow,temporal_v2_context,silero,webrtc,False,0.00017866388952825218,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0016681993980460304,0.6939887911829715,0.2399279017452659,0.06608330647231392,,,,,,,,,,,,,,,,temporal_v2,False,0.00012857128646967983,0.2150313152400835,0.0,0.0,0.0,0.0,0.0011577116837021254,0.0004002475812658997,0.00011024013207800542,0.0,0.0,0.018197169216697142,,,0.029328783847742707,,,,,,,,,,,,,,,,,,,True,0.00022243963758228347,False,True,False,True,True,False,0,True,0,False,50,0.1,5,0.00019309017494801957,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
257,2026-08-25T15:19:14.975525,shadow,temporal_v2_context,silero,webrtc,False,0.00017931924958247691,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0006623540238903725,0.6694232675744554,0.21894625820018362,0.11163047271559433,,,,,,,,,,,,,,,,temporal_v2,False,8.503994066891067e-05,0.2567849686847599,0.0,0.0,0.0,0.0,0.000443395194963782,0.00014501993513463208,7.393889279195835e-05,0.0,0.0,0.023313646436350966,,,0.02993550597939114,,,,,,,,,,,,,,,,,,,True,0.00020693270198535174,False,True,False,True,True,False,0,True,0,False,50,0.1,5,0.00015214940125634973,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
258,2026-08-25T15:19:14.987548,shadow,temporal_v2_context,silero,webrtc,False,0.00020201769075356424,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00022919158733126002,0.48211475802763937,0.3310401353816907,0.18684510222750791,,,,,,,,,,,,,,,,temporal_v2,False,5.6193683981438445e-05,0.2630480167014614,0.0,0.0,0.0,0.0,0.000110496646668181,7.58716140984849e-05,4.282332556459409e-05,0.0,0.0,0.07279162828727735,,,0.026242594702139577,,,,,,,,,,,,,,,,,,,True,0.00020043834956595674,False,True,True,True,True,False,0,True,0,False,50,0.1,5,0.00011743165921048273,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
259,2026-08-25T15:19:15.001272,shadow,temporal_v2_context,silero,webrtc,False,0.0002035447396337986,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00017968151662469734,0.5794540897198107,0.2348669102509875,0.18567899446379912,,,,,,,,,,,,,,,,temporal_v2,False,5.1586254805901256e-05,0.25052192066805845,0.0,0.0,0.0,0.0,0.00010411718965523904,4.220124263885411e-05,3.336308333060421e-05,0.0,0.0,0.0776699952225777,,,0.023173277661795413,,,,,,,,,,,,,,,,,,,True,0.00020043834956595674,False,True,True,True,True,False,0,True,0,False,50,0.1,5,8.899542344603247e-05,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
260,2026-08-25T15:19:15.101441,shadow,temporal_v2_context,silero,webrtc,False,0.00019210530444979668,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00012625912066108097,0.3529425980128899,0.43783768375151183,0.20921971031537845,,,,,,,,,,,,,,,,temporal_v2,False,4.6444969313781724e-05,0.24008350730688935,0.0,0.0,0.0,0.0,4.456222206894486e-05,5.528100094275034e-05,2.6415896649385772e-05,0.0,0.0,0.12064394661983938,,,0.02046461521601001,,,,,,,,,,,,,,,,,,,True,0.0001970278681255877,False,True,True,True,True,False,0,True,0,False,50,0.1,5,6.495771933256932e-05,True,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
261,2026-08-25T15:19:15.115139,shadow,temporal_v2_context,silero,webrtc,False,0.00019167386926710606,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0002052648077328764,0.516109740088025,0.2682605599582666,0.21562969508195268,,,,,,,,,,,,,,,,temporal_v2,False,5.350124401756086e-05,0.22964509394572025,0.0,0.0,0.0,0.0,0.00010593916656823328,5.5064452262147356e-05,4.4261187902495784e-05,0.0,0.0,0.12239248491379011,,,0.021477780625656265,,,,,,,,,,,,,,,,,,,True,0.00019365101616131142,False,True,True,True,True,False,0,True,0,False,50,0.1,5,4.8664440638902746e-05,False,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
262,2026-08-25T15:19:15.134471,shadow,temporal_v2_context,silero,webrtc,False,0.00022292057110462338,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00018433949616295347,0.34051432631516404,0.4148104578894181,0.24467521037064457,,,,,,,,,,,,,,,,temporal_v2,False,5.181456696292759e-05,0.2609603340292276,0.0,0.0,0.0,0.0,6.277023934920487e-05,7.646595081045936e-05,4.5103305003289265e-05,0.0,0.0,0.14036591836868897,,,0.018748506274009997,,,,,,,,,,,,,,,,,,,True,0.00019365101616131142,False,True,True,True,False,False,0,True,0,False,50,0.1,5,4.108524092102347e-05,False,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
263,2026-08-25T15:19:15.144833,shadow,temporal_v2_context,silero,webrtc,False,0.0002582724846433848,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00015579550703408192,0.368315345099448,0.3764312710569118,0.25525337742496984,,,,,,,,,,,,,,,,temporal_v2,False,4.947270343590295e-05,0.2839248434237996,0.0,0.0,0.0,0.0,5.7381875938201365e-05,5.864630073779551e-05,3.9767329358085056e-05,0.0,0.0,0.14204427417110854,,,0.018748506274009997,,,,,,,,,,,,,,,,,,,True,0.00019365101616131142,False,True,True,True,False,False,0,True,0,False,50,0.1,5,3.94042983057524e-05,False,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
264,2026-08-25T15:19:15.217312,shadow,temporal_v2_context,silero,webrtc,False,0.00027231709100306034,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0003418328373817336,0.4659463337714762,0.2561684627575697,0.2778852005455477,,,,,,,,,,,,,,,,temporal_v2,False,6.386674515869441e-05,0.29018789144050106,0.0,0.0,0.0,0.0,0.00015927575734071999,8.7566792472137e-05,9.499028656887663e-05,0.0,0.0,0.13451848410374923,,,0.02245496575731696,,,,,,,,,,,,,,,,,,,True,0.00019706149760168046,False,True,True,True,True,False,0,True,0,False,50,0.1,5,4.235055459867426e-05,False,5,5.5e-05,True,False,False,0,0,False,0,15,24,30,24,,,,False,False,False,
