frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,trigger_route
174,2026-08-08T23:07:23.955627,shadow,analysis_full,silero,webrtc,False,0.000622524123173207,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.43076817525713296,0.7598655329721457,0.22047458196904463,0.019659885056488424,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0019441718768904222,0.12943632567849686,2.5372835620449017,0.9115762729468304,92.18884860727712,1494.4579722077005,0.32732588907919996,0.09497343336538454,0.008468852811548494,0.0,0.0,0.2348990469892597,0.23038411945051745,0.0079051005159465,0.027380497472836374,0.49496406381743613,145.58249730939198,0.016128820612438876,1.5250134366021841,-0.0009049513423616534,1133.3333333333335,0.005327184775154445,True,0.001181382976938039,0.2348990469892597,False,True,True,False,False,0,True,True,True,True,True,True,True,False,True,0,0,False,0,15,24,15,
175,2026-08-08T23:07:23.967685,shadow,analysis_full,silero,webrtc,False,0.0007375880959443748,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.10556408908607263,0.6894025020944681,0.25493960396362453,0.05565789393243446,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0009902063820393997,0.1544885177453027,3.894007048560883,0.8961897644660088,86.25154283736556,1564.2791153072353,0.0727761471472618,0.026912467064384136,0.005875474873426693,0.0,0.0,0.2489143448841995,0.24995611589008698,0.013472585469021772,0.027344658588781535,0.5634294127321101,145.99087836632685,0.013126742806486229,1.3694615502614262,-0.000813415273637861,1633.3333333333335,0.01942490745914372,True,0.001111326040700078,0.2489143448841995,False,True,True,False,False,0,True,True,True,True,True,True,True,False,True,0,0,False,0,15,24,15,
176,2026-08-08T23:07:23.975594,shadow,analysis_full,silero,webrtc,False,0.0007375880959443748,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.1466446297707799,0.7288210629718251,0.2178096949047482,0.05336924211660745,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001171241884574859,0.12526096033402923,3.913136426282054,0.9075934329724149,87.76608274329718,1507.9134305038165,0.10687769494864957,0.031940622069793326,0.007826312751337014,0.0,0.0,0.2569949871152071,0.26192772242411383,0.016601081000046994,0.027959363745775716,0.6118939347361757,147.51018818826964,0.0011104060947034788,1.6769318601800969,-0.0009936058186194076,1466.6666666666667,0.009378202583372661,True,0.0010154549090657383,0.2569949871152071,False,True,True,False,False,0,True,True,True,True,True,True,True,False,True,0,0,False,0,15,24,15,
177,2026-08-08T23:07:23.985851,shadow,analysis_full,silero,webrtc,False,0.0007053040317259729,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.1602459467685169,0.7401393038406726,0.20705270819672414,0.05280798795636289,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0012214139386702708,0.10438413361169102,3.8900669838375808,0.9102214257429243,88.14320553990504,1502.36856674751,0.11860432348453957,0.033179357255969516,0.008462266027007809,0.0,0.0,0.2554847722089833,0.2631903712742354,0.01872773582723256,0.029926769086711803,0.645325494992311,148.08106076740378,0.00019134125207738152,1.590995246863438,-0.000945363051208517,1400.0,0.011493604470089036,True,0.0008556837565265596,0.2554847722089833,False,True,True,False,False,0,True,True,True,True,True,True,True,False,True,0,0,False,0,15,24,15,
178,2026-08-08T23:07:23.996081,shadow,analysis_full,silero,webrtc,False,0.0005837259232066572,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.17739949622177112,0.7335814559513582,0.21376577251985363,0.05265277152315114,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0012876661007508207,0.1127348643006263,3.8827540664717106,0.9109736891362766,88.60588944291337,1497.8171994869494,0.13013698072340432,0.03792194035447976,0.009340575142887029,0.0,0.0,0.23008457432369223,0.23912709226737083,0.020018141420524375,0.02800608991688352,0.6789044612917329,144.99102003606234,0.0001596569169925091,1.719511298841014,-0.001019889249929607,1433.3333333333335,0.00844417707130476,True,0.0007375880959443748,0.23008457432369223,False,True,True,False,False,0,True,True,True,True,True,False,True,False,True,0,0,False,0,15,24,15,
179,2026-08-08T23:07:24.005290,shadow,analysis_full,silero,webrtc,False,0.0005022289697080851,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.17593957976924396,0.7364507159374925,0.21108216462977247,0.052467119427051276,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0012811052574098045,0.09603340292275574,3.8797642839044673,0.910777638238844,88.5605574504157,1499.4509955865449,0.12957082948280127,0.03713770734174454,0.009231042943698137,0.0,0.0,0.21651284056626105,0.22627212108532688,0.020843320699338183,0.02380690653887003,0.7053628925320412,88.14718801941042,3.4274110710843085e-05,1.7161263775923237,-0.0010278525408873042,1433.3333333333335,0.00892331568525117,True,0.0007326787745114416,0.21651284056626105,False,True,True,False,False,0,True,True,True,True,True,False,True,False,True,0,0,False,0,15,24,15,
180,2026-08-08T23:07:24.013033,shadow,analysis_full,silero,webrtc,False,0.00040724125574342906,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.11853206747997366,0.7165500990645173,0.22280996098108513,0.06063993994596097,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0010543049816885085,0.11064718162839249,3.9319232464973806,0.9058107163212215,86.84320380723332,1506.4246371334773,0.08493416469509718,0.02641012533022028,0.007187777453656196,0.0,0.0,0.18968560346907773,0.1994990097507406,0.021888554332086696,0.020501851686331386,0.7313628089945948,62.623337623135,0.00014558029671559735,1.7824972289729708,-0.0010772793692244117,1500.0,0.007793246596717831,True,0.0007165367424022406,0.18968560346907773,False,True,True,False,False,0,True,False,True,False,True,False,True,False,True,0,1,False,0,15,24,15,
181,2026-08-08T23:07:24.022178,shadow,analysis_full,silero,webrtc,False,0.0003300778043922037,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.06359977742841208,0.7219945014046645,0.2233679880630675,0.05463751051654454,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0007750865940172264,0.09394572025052192,3.9172730463191567,0.9094979466458668,84.18517988771521,1508.1962670652656,0.04591868959387401,0.0142061543254433,0.0034749335080947567,0.0,0.0,0.10935690377266727,0.11630534944526986,0.02112848149174401,0.017838390252637976,0.7486606579846931,51.057136726195274,0.00016993096560154744,1.4941813261785628,-0.0008894980833666238,1466.6666666666667,0.014661256858338365,True,0.00066391407744959,0.10935690377266727,False,True,True,False,False,0,True,False,True,False,True,False,True,False,True,0,2,False,0,15,24,15,
182,2026-08-08T23:07:24.033391,shadow,analysis_full,silero,webrtc,False,0.00033759683719836175,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.03535081016975392,0.7415688847166326,0.20515542328943664,0.053275691965642885,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0005762591253016899,0.07515657620041753,3.869032203180516,0.9115766729903293,81.61457042698885,1496.8334187686883,0.02621506087141381,0.007252410424000388,0.0018833388733397259,0.0,0.0,0.04102685371386349,0.026535903221111153,0.01763801513791828,0.020692295103739232,0.6760498348968408,44.8143724926892,8.00492381305378e-05,1.6535333665559937,-0.0009872291347727722,1433.3333333333335,0.009988436832872736,True,0.0006031250231899321,0.04102685371386349,False,True,False,False,False,0,True,False,True,False,True,False,True,False,True,0,3,False,0,15,24,15,
183,2026-08-08T23:07:24.041484,shadow,analysis_full,silero,webrtc,False,0.0003352258063387126,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.016657752102590438,0.7543447002886227,0.19287365535221807,0.05278164429912723,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000394727348475981,0.10020876826722339,3.799929562863425,0.9132100716487443,78.32103414737009,1498.6440285590606,0.012565687017310758,0.0032128415379777137,0.0008792235463019673,0.0,0.0,0.019022665428745825,0.015469997517010718,0.010638409557546172,0.020956008503264473,0.40618084717197395,19.42334017324645,0.0002454348233921925,1.5923783871186548,-0.0009528570982383386,1400.0,0.011487899552381636,True,0.0005429774464573711,0.019022665428745825,False,True,False,False,False,0,True,False,True,False,True,False,True,False,True,0,4,False,0,15,24,15,
