frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames
95,2026-08-08T15:34:25.395225,shadow,silero,webrtc,False,0.17445769906044006,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.47606348484780275,0.48508629402604597,0.40697596870614283,0.10793773726571075,,,,,,,,,,,,,,,True,temporal_v1,False,0.0020624165318628364,0.18789144050104384,4.022379080507757,0.8436027192441726,92.36555011444075,1755.1953103850565,0.23093187158594533,0.19374639791155668,0.0513852153493008,0.0,0.0,0.19632404543749585,0.2192985499836625,0.06561448293972251,0.044933216997453916,0.37234891332965475,117.57511560945558,0.0034825728148909644,1.0195863230294018,-0.0006015935104467223,2000.0000000000002,0.04335217976631711,True,0.18144390732049942,0.19632404543749585,True,True,True,True,True,24,20
96,2026-08-08T15:34:25.398400,shadow,silero,webrtc,False,0.17445769906044006,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.40959825963393764,0.3346112158944716,0.6027741007228015,0.06261468338028557,,,,,,,,,,,,,,,True,temporal_v1,False,0.001912056159657656,0.19206680584551147,4.039905357295534,0.8520894803065506,91.75139695818683,1680.0951261264358,0.13705617168437134,0.24689522260847133,0.025646865340095013,0.0,0.0,0.20060503373364846,0.22524120115763266,0.05614742346114659,0.04448332027765673,0.38421868371945,102.22126519998413,0.003448292710002651,1.15285248933915,-0.0006745562214062169,1700.0000000000002,0.030289159213322113,True,0.18144390732049942,0.20060503373364846,True,True,True,True,True,25,20
97,2026-08-08T15:34:25.414624,shadow,silero,webrtc,False,0.1753094494342804,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.33873507804410247,0.22825249735805328,0.725622284590599,0.046125218048395665,,,,,,,,,,,,,,,True,temporal_v1,False,0.0017345972043779823,0.18580375782881003,3.5434951155915377,0.8519509416371575,90.9043255956854,1601.861864034286,0.07731712750634147,0.24579372120133647,0.01562422933542455,0.0,0.0,0.18174004719350015,0.2037747739383843,0.05506292071237268,0.04385127633608726,0.30532700654455763,105.07697617915775,0.005709632212709144,1.4187818751463617,-0.0008498219418723538,1733.3333333333335,0.010726570059073206,True,0.18144390732049942,0.18174004719350015,True,True,True,True,True,26,20
98,2026-08-08T15:34:25.432145,shadow,silero,webrtc,False,0.15505091845989227,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.3317676285165102,0.2797437165073425,0.6931822563798061,0.02707402710983728,,,,,,,,,,,,,,,True,temporal_v1,False,0.0017093836124944665,0.17954070981210857,3.4698255471821517,0.8611715370136849,90.82385703509533,1652.512457470345,0.09280990941803595,0.22997543332885184,0.00898228576862242,0.0,0.0,0.17317576875310992,0.1926638879042746,0.05397671041314908,0.04406988840272965,0.28700651127074195,103.33980198536379,0.005284971585969494,0.973573763336621,-0.0005712861488009063,1700.0000000000002,0.023384660012884972,True,0.1755511835217476,0.17317576875310992,True,True,True,True,True,27,20
99,2026-08-08T15:34:25.450028,shadow,silero,webrtc,False,0.1319737583398819,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.3994435818900985,0.21846857466634706,0.7618952897759174,0.01963613555523216,,,,,,,,,,,,,,,True,temporal_v1,False,0.001871441169721441,0.17536534446764093,3.465505518004654,0.8528246064798112,91.5685955506723,1616.263791127854,0.0872658699951501,0.30433418357328695,0.007843528320661453,0.0,0.0,0.19153667784085832,0.2178184139966951,0.054048860535907635,0.04383586803557679,0.27554056188897513,98.2323184509294,0.008310135363180432,1.107596415565101,-0.0006499517716868448,1666.6666666666667,0.017046738473886755,True,0.17488357424736023,0.19153667784085832,True,True,True,True,True,28,20
100,2026-08-08T15:34:25.464004,shadow,silero,webrtc,False,0.10914792865514755,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.28983338615148235,0.22790495594153637,0.7375975519992882,0.03449749205572515,,,,,,,,,,,,,,,True,temporal_v1,False,0.0015980489427987626,0.16701461377870563,3.7388252539125713,0.8388206115638905,90.12458981409132,1641.8831996816195,0.06605446510123988,0.2137803961129978,0.009998524936244682,0.0,0.0,0.18577051206666748,0.22193739746019658,0.05532938580808928,0.041481366871047316,0.26959809110046223,91.69238775679754,0.005167624209732035,1.3593398386128985,-0.0007964649372631034,1800.0000000000002,0.011715342985765393,True,0.17488357424736023,0.18577051206666748,True,True,True,True,True,29,20
101,2026-08-08T15:34:25.483653,shadow,silero,webrtc,False,0.09720375388860703,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.20449916570365353,0.37307726244967404,0.5934107192062603,0.03351201833917565,,,,,,,,,,,,,,,True,temporal_v1,False,0.0013486151714523563,0.18162839248434237,3.873376733071565,0.8481361800904376,88.69778092375657,1546.9040519073776,0.07629398891396133,0.12135199699728524,0.006853179791406957,0.0,0.0,0.12974344956244807,0.1816499028642724,0.05728431496840244,0.03866724217407094,0.26563271346471995,91.97540901567552,0.005285298407162206,1.5432886359896505,-0.0009136702076302253,1833.3333333333335,0.008356379471892435,True,0.17445769906044006,0.12974344956244807,True,True,True,True,True,30,20
102,2026-08-08T15:34:25.499037,shadow,silero,webrtc,False,0.08656208217144012,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.21451490273398643,0.20936378618452461,0.7726935121308611,0.01794270167995257,,,,,,,,,,,,,,,True,temporal_v1,False,0.00137722116380783,0.20668058455114824,3.7006690571454164,0.8218679329294458,88.74372801537184,1613.2245777420278,0.04491165222939243,0.16575427359793404,0.0038489769056599603,0.0,0.0,0.11548482494455456,0.1686916778324677,0.05727553898753624,0.02257112292045328,0.2523778419239038,65.17631031129947,0.00371771634998594,1.1651081889548098,-0.0006762020487228553,1966.6666666666667,0.014406203241752142,True,0.16475430876016617,0.11548482494455456,True,True,True,True,True,31,20
103,2026-08-08T15:34:25.511390,shadow,silero,webrtc,False,0.08134890347719193,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.20526135468229995,0.20222666333372502,0.7907033315937083,0.007070005067694753,,,,,,,,,,,,,,,True,temporal_v1,False,0.0013454821529017245,0.21294363256784968,3.542638031963506,0.8192568314653483,88.52730160845425,1565.6545347339863,0.041509318868761795,0.16230083699473238,0.0014511988178057508,0.0,0.0,0.11408187525041767,0.16427050137861354,0.054217516551367605,0.01688830765441059,0.23384959203460537,63.15890154981179,0.004822320910270142,1.1881190971389892,-0.0006940625334563618,2166.666666666667,0.009099799501215939,True,0.14351233839988708,0.11408187525041767,True,True,True,True,True,32,20
104,2026-08-08T15:34:25.521882,shadow,silero,webrtc,False,0.08411188423633575,True,True,True,1,True,True,False,1,0.0,,,,,,,,,,,,,0.14586008530294509,0.26936333066250334,0.7190321488567192,0.011604520473921739,,,,,,,,,,,,,,,True,temporal_v1,False,0.0011326798209336767,0.20668058455114824,3.4729109685103916,0.8076396144272064,86.96894571416153,1592.7854014636073,0.03928935838791814,0.10487809056780097,0.0016926363462259975,0.0,0.0,0.08599789719365662,0.1107485703776468,0.02844911748464392,0.01424527942315823,0.21403807490699442,56.930163368449996,0.010356252234727217,1.5495589246347412,-0.0009230906251980282,2166.666666666667,0.005088972792010267,True,0.12056084349751472,0.08599789719365662,True,True,True,True,True,33,20
