frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames
13,2026-08-08T15:35:02.667836,shadow,silero,webrtc,False,0.013991036452353,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.10489246622623616,0.34777457524917244,0.6001791413190197,0.0520462834222743,,,,,,,,,,,,,,,True,temporal_v1,False,0.00097867359031239,0.14613778705636743,3.768967069605476,0.8696480154268286,86.01922083447985,1596.4514362649106,0.036478932888667444,0.06295427031049669,0.005459263026072022,0.0,0.0,0.1664770177211981,0.16308569983317697,0.014347167861458397,0.009466207973907834,0.27781601115896126,81.1691119087459,0.003476024186065062,1.2021693204990527,-0.0007121194150120229,1566.6666666666667,0.01946585187009448,True,0.004058422287926078,0.1664770177211981,False,True,True,False,False,0,20
14,2026-08-08T15:35:02.680199,shadow,silero,webrtc,False,0.007503305561840534,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.010356016973204778,0.7302379218931863,0.23489114392244223,0.03487093408780937,,,,,,,,,,,,,,,True,temporal_v1,False,0.0003201328163245278,0.10647181628392484,3.5781834416570066,0.9297403156100911,76.5647281404001,1406.3773103561139,0.0075623563136036215,0.002432536673316298,0.00036112398528485894,0.0,0.0,0.16669926083517475,0.16175640235815242,0.01320737057793301,0.010622592261552025,0.27776850960890276,81.73874574606779,0.007659534586078672,1.1149257049499546,-0.0006669702819750208,1200.0,0.02033708112223498,True,0.004058422287926078,0.16669926083517475,False,True,True,False,False,0,20
15,2026-08-08T15:35:02.691922,shadow,silero,webrtc,False,0.004042032174766064,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.003961047660988582,0.5779668561210377,0.3674626987617532,0.05457044486475058,,,,,,,,,,,,,,,True,temporal_v1,False,0.00019485260891003928,0.11899791231732777,3.782645774219064,0.8949301057232655,72.01334612292202,1516.4885653876618,0.0022893542635671607,0.0014555372634307943,0.00021615613299062666,0.0,0.0,0.1687967927763358,0.1636259302724755,0.012672979666209682,0.010446760754235326,0.27281806029131794,81.72333218472072,0.0059154604575269104,1.5857224950113957,-0.0009569792771513857,1500.0,0.009578728356466754,True,0.003932201769202948,0.1687967927763358,False,True,True,False,False,0,20
16,2026-08-08T15:35:02.696451,shadow,silero,webrtc,False,0.004042032174766064,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0012452312556261805,0.5528436050319335,0.3997658132947603,0.04739058087024266,,,,,,,,,,,,,,,True,temporal_v1,False,0.00011425854761834087,0.13569937369519833,3.802744863781715,0.8957537540507,67.15089681000411,1510.8087848351986,0.0006884181364588187,0.0004978008856454556,5.9012232521906315e-05,0.0,0.0,0.16933062456799983,0.16348901262901663,0.012102500203192281,0.010696190778663463,0.27437821353098957,79.76492031538027,0.005039128231512105,1.3052503999998037,-0.0007826766765766739,1500.0,0.017147807879771954,True,0.004042032174766064,0.16933062456799983,False,True,True,False,False,0,20
17,2026-08-08T15:35:02.712203,shadow,silero,webrtc,False,0.0026786141097545624,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005455643066576925,0.7544784991298968,0.19713278377469212,0.04838871691211456,,,,,,,,,,,,,,,True,temporal_v1,False,0.00022791762956470522,0.12108559498956159,3.748708518352483,0.9173343493018216,73.51374555643005,1465.776758668894,0.0041161653926593865,0.0010754861049954072,0.0002639915679221314,0.0,0.0,0.1700500023742912,0.16382584087598304,0.011813538126297821,0.010653320102023444,0.28036623807766803,73.62523761204189,0.004050157654815121,1.4456090281259768,-0.0008627543608523587,1300.0,0.013509432081978336,True,0.004042032174766064,0.1700500023742912,False,True,True,False,False,0,20
18,2026-08-08T15:35:02.724146,shadow,silero,webrtc,False,0.0017823312664404511,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0008571661126503874,0.693929488478096,0.2558256417876011,0.05024486856766791,,,,,,,,,,,,,,,True,temporal_v1,False,9.296506724272654e-05,0.12526096033402923,3.492081484476493,0.9001951188016494,65.19316719509885,1637.320623078227,0.0005948128420922413,0.0002192850708873685,4.3068198670777544e-05,0.0,0.0,0.16772188727794096,0.16142102916992715,0.0118700048671215,0.010521589284638123,0.2749721982841555,83.20101385533488,0.0038589819469159806,1.1149683202603409,-0.0006559455438643339,1433.3333333333335,0.02277899312472101,True,0.004042032174766064,0.16772188727794096,False,True,True,False,False,0,20
19,2026-08-08T15:35:02.735946,shadow,silero,webrtc,False,0.0015924976905807853,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0012633187309086583,0.7615440890236873,0.1712621518930136,0.06719375829173334,,,,,,,,,,,,,,,True,temporal_v1,False,0.00011365927741905404,0.12943632567849686,3.6831395184551905,0.9040630665231472,67.14137736654999,1534.8612224846258,0.0009620729120763949,0.00021635868438216782,8.48871334500957e-05,0.0,0.0,0.1705467220106486,0.1654887257429008,0.013092846409462967,0.010446760754235326,0.27597849613635916,77.24141207320173,0.0038015739899907933,1.4543867547297484,-0.0008728308660284297,1466.6666666666667,0.013115525485436038,True,0.004042032174766064,0.1705467220106486,False,True,True,False,False,0,20
20,2026-08-08T15:35:02.748206,shadow,silero,webrtc,False,0.0016498458571732044,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0007519011405347102,0.6811870147407266,0.2558734437438234,0.06293954018548793,,,,,,,,,,,,,,,True,temporal_v1,False,8.845635227845858e-05,0.1524008350730689,3.7999029524751293,0.8886320966381167,64.64542458774073,1629.5560036860427,0.0005121852933009868,0.00019239153418352484,4.7324312050198604e-05,0.0,0.0,0.16863661483664077,0.16378376432862943,0.013906589805258746,0.013414884197425758,0.28266405454664634,85.85070741723027,0.002774443977674174,1.1714697517212997,-0.000696913003282407,1733.3333333333335,0.0261509688196585,True,0.004042032174766064,0.16863661483664077,False,True,True,False,False,0,20
21,2026-08-08T15:35:02.757888,shadow,silero,webrtc,False,0.0014404312241822481,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0008414066165910069,0.7252798135850993,0.2220559251583303,0.052664260068084355,,,,,,,,,,,,,,,True,temporal_v1,False,9.714857498192392e-05,0.11482254697286012,3.645132464542084,0.9111893877293947,65.67578778626527,1499.6538870590718,0.0006102552340303947,0.00018683932468145656,4.431205687915573e-05,0.0,0.0,0.14747705943127276,0.14837319176227384,0.008311117790920563,0.013822918878703004,0.09853221213320552,68.80142540100478,0.0031037453381236907,1.6040422443109403,-0.0009612147590148529,1533.3333333333335,0.008743025935471967,True,0.003360323142260313,0.14747705943127276,False,True,True,False,False,0,20
22,2026-08-08T15:35:02.767803,shadow,silero,webrtc,False,0.0014477119548246264,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0010822170845302776,0.7537701720157662,0.18877207357913292,0.057457753481071794,,,,,,,,,,,,,,,True,temporal_v1,False,0.00010726334859637981,0.12317327766179541,3.604377973850333,0.9180041918177345,66.65988954426741,1462.1761778582697,0.0008157429579647884,0.0002042923631095443,6.218176245594493e-05,0.0,0.0,0.12428907818494728,0.1253840057107002,0.008438614353270462,0.013335047534589823,0.1020383768773657,71.5424979782587,0.0020018561936883195,1.5551946988283558,-0.0009366250325025914,1333.3333333333335,0.009779376121138704,True,0.0022304726880975068,0.12428907818494728,False,True,True,False,False,0,20
