frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
248,2026-08-11T01:53:29.156830,shadow,analysis_full,silero,webrtc,False,0.0001609965111128986,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007748844029218688,0.6791334610222636,0.26785880057244466,0.05300773827624013,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002735580785023532,0.12734864300626306,3.941686049091673,0.9047737057347315,75.06538433803274,1527.0502926426404,0.00526249926448499,0.002075596067489467,0.0004107486962442302,0.0,0.0,0.06971752655133182,0.06046162615583094,0.01126155503702572,0.02139747437529155,0.07114969635070081,44.8444288129244,0.0006525488357303021,1.443982010739843,-0.0008582295708405229,1533.3333333333335,0.016746581567057574,True,0.00016966567636700347,0.06971752655133182,False,True,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
249,2026-08-11T01:53:29.164649,shadow,analysis_full,silero,webrtc,False,0.00017487467266619205,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006219215655923806,0.7123625854216484,0.2340503819382812,0.05358703247927831,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00024491767437727574,0.09394572025052192,3.8240589154295344,0.9097518688461083,74.11395063362653,1491.7111201615976,0.004430336543948675,0.0014556097996255048,0.00033326931134962514,0.0,0.0,0.04189045076165987,0.04011780972512282,0.004232013033928633,0.026009040806398785,0.07158237462376756,28.197515628772937,0.0012514608780529075,1.771529712023352,-0.0010757739149061876,1433.3333333333335,0.007370973887225067,True,0.00017419658252038062,0.04189045076165987,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
250,2026-08-11T01:53:29.169687,shadow,analysis_full,silero,webrtc,False,0.00022653824998997152,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007758495152924452,0.7417689161129002,0.20457561588745748,0.0536554678707513,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000270020407655155,0.1336116910229645,3.7858351685256104,0.9094602049650394,74.97316723442916,1502.1981232271576,0.005755010540251961,0.0015871989242693734,0.0004162856874031177,0.0,0.0,0.03133359040855424,0.030994090230799028,0.003534189710449053,0.024648805249512223,0.07418904468777586,17.573235830573182,0.00250188604193947,1.5842235009702264,-0.000946614038524288,1433.3333333333335,0.011137890471844315,True,0.00017804006347432733,0.03133359040855424,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
251,2026-08-11T01:53:29.176485,shadow,analysis_full,silero,webrtc,False,0.00021172722335904837,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.009189314531209988,0.726913738509588,0.21738476440725982,0.05570149697432999,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00029790214674762334,0.12108559498956159,3.8251015190285775,0.9090978404536657,75.83572693440055,1524.5726446862145,0.006679838980222334,0.0019976169744312924,0.0005118585755563598,0.0,0.0,0.02971791512867339,0.02928666635060835,0.0035279178815994464,0.023411850970983195,0.06726687332678001,17.481742635800845,0.0010827867160398618,1.4145795734877902,-0.0008439370477941649,1433.3333333333335,0.01744691437451102,True,0.00018286032718606293,0.02971791512867339,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
252,2026-08-11T01:53:29.181552,shadow,analysis_full,silero,webrtc,False,0.0002102670696331188,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012223635992812327,0.7388335636985791,0.21099493155336863,0.05017150466624347,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000339954963792584,0.12526096033402923,3.8062611139275617,0.9120813124459491,77.00838939552418,1489.6651288278308,0.00903123254192375,0.00257912523963673,0.0006132782102518453,0.0,0.0,0.028546806990618553,0.028756138977140577,0.0022617254708810954,0.01976694862557447,0.055002312668765305,17.29980844226387,0.001067084999468584,1.5942009327495206,-0.000953399000764397,1433.3333333333335,0.010274079599420184,True,0.00018555138376541436,0.028546806990618553,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
253,2026-08-11T01:53:29.187230,shadow,analysis_full,silero,webrtc,False,0.00018009735504165292,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.01194521393896947,0.7420054646829376,0.20604815926315886,0.05194637597018797,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003335856774285249,0.12734864300626306,3.7910060384517084,0.910456867561662,76.83482107530745,1501.0591517267958,0.008863414019522144,0.0024612893441292865,0.000620510574318038,0.0,0.0,0.027523861095637238,0.027719953284462882,0.0023339477872969506,0.017391787557126122,0.05057660455323122,17.89968478068028,0.0013048117878644806,1.7759480645896772,-0.0010792148954527649,1466.6666666666667,0.007566926942680489,True,0.00018065140466205776,0.027523861095637238,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
254,2026-08-11T01:53:29.195471,shadow,analysis_full,silero,webrtc,False,0.0001871881540864706,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00921605974591438,0.696193263255083,0.2432842313792812,0.06052250525712938,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002940960344141451,0.1419624217118998,3.8380380279198243,0.9047907069333864,75.70217821884691,1515.1535356393429,0.006416158708861943,0.0022421220116303135,0.0005577790244221214,0.0,0.0,0.02877699896255406,0.028476681946588967,0.0029531197055669128,0.014932404795196384,0.04985879467462612,17.842255091265713,0.0012334310479917036,1.6134721495636335,-0.0009631422513820948,1500.0,0.010671182034482446,True,0.0001841968041844666,0.02877699896255406,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
255,2026-08-11T01:53:29.201061,shadow,analysis_full,silero,webrtc,False,0.0001880312483990565,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.017294735869495818,0.7245428189473938,0.21975369886904209,0.0557034821257432,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00040079125683704697,0.12108559498956159,3.8958025679826167,0.9053287514188972,78.41672388558581,1521.5773047893897,0.012530776679835105,0.0038005821782848047,0.00096337701037591,0.0,0.0,0.027214994862845118,0.026388179923316386,0.0026287823863435514,0.014738507385989806,0.05252487002815717,14.096048359509755,0.0009699498228492147,1.6168150194244781,-0.0009611962443906909,1533.3333333333335,0.011095824846344804,True,0.00018760970124276355,0.027214994862845118,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
256,2026-08-11T01:53:29.206757,shadow,analysis_full,silero,webrtc,False,0.0001880312483990565,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.009838779117485727,0.7869911554050202,0.16707060501098028,0.045938239482360935,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00030595403245412765,0.10438413361169102,3.6715382706758253,0.9218258199331335,76.13029511283871,1476.3378967549281,0.007743032145444877,0.001643770779727739,0.00045197619131311106,0.0,0.0,0.03243259879827201,0.030024123440366035,0.003656424410270749,0.015948583928838647,0.07376541186888093,17.423510372544726,0.0011978877643432286,1.4329541609700143,-0.0008416874833926422,1200.0,0.013326010822461353,True,0.00018760970124276355,0.03243259879827201,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
257,2026-08-11T01:53:29.211349,shadow,analysis_full,silero,webrtc,False,0.00018471726798452437,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012092298894717494,0.7495274910352532,0.20023681305696825,0.050235695825081327,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003399712429220303,0.11482254697286012,3.7976661875609996,0.9143069367240242,77.01939059139933,1490.840952248409,0.009063510451405968,0.0024213233932105305,0.0006074650491009951,0.0,0.0,0.028408398655537195,0.02580713949072579,0.003722466842580462,0.013203664551851272,0.06753132095745928,16.41542835857079,0.0014950501980876374,1.558469148051089,-0.000932457389408479,1400.0,0.01168252452929816,True,0.00018760970124276355,0.028408398655537195,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
