frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
18,2026-08-11T01:00:44.649700,shadow,analysis_full,silero,webrtc,False,0.0013416409492492676,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002303018209810345,0.7497340076284423,0.20981498493083559,0.040451007006509145,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00015067189138794193,0.08977035490605428,3.583206347472914,0.9156736388450816,69.79970751371314,1469.833040715484,0.0017266510720823907,0.00048320773098679744,9.31594057411564e-05,0.0,0.0,0.023562631087810086,0.02118902427185982,0.009807100736930937,0.017436837593170017,0.09068069335302091,38.456237758908756,0.001462370902321593,1.2524042607194634,-0.0007492072232373751,1300.0,0.018558151290764612,True,0.00196469877846539,0.023562631087810086,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
19,2026-08-11T01:00:44.655890,shadow,analysis_full,silero,webrtc,False,0.0014747348614037037,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0042037530082575485,0.6998523529375971,0.2494891171411817,0.05065852968333845,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00019832948136968743,0.11691022964509394,3.7650948897313143,0.896315911356253,72.17781847066203,1564.3364994861467,0.002942006433997547,0.0010487906267097624,0.00021295594655023833,0.0,0.0,0.0262514086938299,0.022789202009736952,0.007159419219322254,0.016062951199725544,0.09203994767145866,42.26212912441176,0.0023263553136460423,1.4028262745598474,-0.0008370791290959556,1666.6666666666667,0.01654915009468312,True,0.001928778539877385,0.0262514086938299,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
20,2026-08-11T01:00:44.662826,shadow,analysis_full,silero,webrtc,False,0.001179989194497466,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0029549515235550937,0.7213707783764078,0.240822648515921,0.0378065727692561,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0001668745776726961,0.12317327766179541,3.3727816654926555,0.9073093906501154,70.68338656121932,1506.529517472561,0.0021316156806114902,0.0007116192521386936,0.00011171658980490983,0.0,0.0,0.0265001012178077,0.023555855708194826,0.0074066019890182385,0.012560842552393588,0.13148873796194524,41.801680003490986,0.005309353369903509,1.6293329280724347,-0.0009901295845600611,1500.0,0.009136806220724032,True,0.001876061491202563,0.0265001012178077,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
21,2026-08-11T01:00:44.669741,shadow,analysis_full,silero,webrtc,False,0.0011854994809255004,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.005007337095589406,0.7479451905035001,0.20438041670606188,0.047674392590731085,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00021988651898799654,0.1022964509394572,3.5875808938526372,0.9150531034110023,73.18501612441509,1517.5610100489616,0.003745213697875861,0.0010234016421842844,0.00023872175452926048,0.0,0.0,0.023449922412924432,0.02245116006261455,0.005655635270945723,0.012671391152812957,0.13184133896986405,36.09650631161024,0.006012509683618915,1.2746507401327885,-0.0007573042685109354,1466.6666666666667,0.019647779609763244,True,0.001666999771259725,0.023449922412924432,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
22,2026-08-11T01:00:44.676267,shadow,analysis_full,silero,webrtc,False,0.0010092100128531456,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0025867902025208792,0.7446698744721492,0.20674346666015464,0.04858665848111669,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00015737370216457002,0.09394572025052192,3.6318223411291757,0.9102272099920011,70.16852128335479,1520.863483564718,0.0019263047353970085,0.00053480197399169,0.00012568349213218065,0.0,0.0,0.023049815083349162,0.022495779527476664,0.005017864591437587,0.012130136990675531,0.11723375953330244,36.220147452557946,0.003318119924588096,1.4832847978399524,-0.0008886473616393984,1533.3333333333335,0.012599732043563405,True,0.0014433819451369345,0.023049815083349162,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
23,2026-08-11T01:00:44.682535,shadow,analysis_full,silero,webrtc,False,0.0010315320687368512,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.003742709571787092,0.7414673628760599,0.21446758959477488,0.0440650472619792,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00018862353627278433,0.1022964509394572,3.6993611554427384,0.9172186588943881,71.83013643764096,1475.2376392736312,0.002775096996203962,0.0008026899004144696,0.00016492267416866012,0.0,0.0,0.015209969391993988,0.015117429726281946,0.005009867649203682,0.01111776781268839,0.11921025128914019,25.156407593942646,0.0012809482958390669,1.465523008581864,-0.000881078976548324,1333.3333333333335,0.014097133366771288,True,0.0013768349890597165,0.015209969391993988,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
24,2026-08-11T01:00:44.689591,shadow,analysis_full,silero,webrtc,False,0.0011831349693238735,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0016754513831251313,0.7169757924247939,0.23695775716598103,0.04606644981237099,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00013127213519589838,0.11482254697286012,3.5269751086935455,0.9170490888732106,68.54508161034627,1541.574129604988,0.001201258083085358,0.0003970112019859719,7.718209705380143e-05,0.0,0.0,0.01604446055861137,0.01606089605245011,0.004076391571473469,0.01028912027586773,0.1075276843903509,26.523945672974488,0.003223494950996102,1.0377602993523671,-0.0006151787148458532,1433.3333333333335,0.03011896231904153,True,0.001263570215087384,0.01604446055861137,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
25,2026-08-11T01:00:44.695097,shadow,analysis_full,silero,webrtc,False,0.0009312428301200271,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00321667890492645,0.7256884268517284,0.22560532994780433,0.04870624288958752,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00017840627773186435,0.10020876826722339,3.6951890828021545,0.9153835656299909,71.32292621669869,1490.7197243327405,0.002334306654203216,0.0007256999056820736,0.00015667234404116007,0.0,0.0,0.014982476406204993,0.014430970333404283,0.004109521681080791,0.010118263729480277,0.10967401622135316,27.43084981629042,0.003481591065060785,1.4580359755376264,-0.0008722394009318561,1400.0,0.013814222116144043,True,0.001184317225124687,0.014982476406204993,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
26,2026-08-11T01:00:44.703474,shadow,analysis_full,silero,webrtc,False,0.0008274753345176578,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.002237856648180286,0.7645925067926049,0.19551226529044982,0.03989522747008907,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00014751735408804857,0.12526096033402923,3.647854615584788,0.923863418468228,69.64595292617781,1417.6234733561537,0.0017110484244746613,0.00043752842268102084,8.92798000246036e-05,0.0,0.0,0.017995625516027607,0.016656777014182812,0.004173610829894835,0.011540939424705845,0.10911703831092888,39.50948013505889,0.002726525423113172,1.8274186033539164,-0.001100469608988783,1300.0,0.004801449471662675,True,0.0011815620819106698,0.017995625516027607,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
27,2026-08-11T01:00:44.711592,shadow,analysis_full,silero,webrtc,False,0.0008078541723079979,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0012218076389541757,0.8189303697270598,0.15072303521705196,0.03034659423742891,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00011005469914556867,0.09603340292275574,2.931502338520226,0.930075090844368,66.96017431406442,1564.8401503244127,0.001000575381504089,0.00018415455579455335,3.707770065553341e-05,0.0,0.0,0.03100473959151633,0.026732685438813623,0.005968398421438589,0.011956426775178582,0.22859831964964228,43.33087086817136,0.006359059514664052,0.9365842567720394,-0.0005611371142623265,1333.3333333333335,0.024086897335986488,True,0.0011057606316171587,0.03100473959151633,False,True,False,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
