frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech
176,2026-08-08T17:45:31.780222,shadow,silero,webrtc,False,0.007425261661410332,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.027981948286225914,0.750321814394476,0.19954814049875017,0.050130045071036515,,,,,,,,,,,,,,,True,temporal_v1,False,0.0005124873406728347,0.08768267223382047,3.8091564031517477,0.9146516798537097,80.60701886851695,1486.580889667377,0.020995466208413426,0.00558374574804857,0.0014027363287639181,0.0,0.0,0.0255831912415014,0.023520386096867442,0.002845589946198072,0.010498781595557543,0.05501407010084325,14.782289145567288,0.00021121470884621343,1.7504721930486706,-0.0010465411801330706,1400.0,0.007704240139106539,True,0.00876552052795887,0.0255831912415014,True,True,False,False,False,0,20,True,False,True,False,True,False
177,2026-08-08T17:45:31.790025,shadow,silero,webrtc,False,0.007011091336607933,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.02215152498103402,0.7185910151690302,0.2308528479306594,0.05055613685516677,,,,,,,,,,,,,,,True,temporal_v1,False,0.0004554833735711589,0.10647181628392484,3.8950649058700177,0.9114574177226211,79.5632135841178,1495.8166419438076,0.01591788682366337,0.00511374262787885,0.0011198955284918014,0.0,0.0,0.02222672699512988,0.02081893594798161,0.0024711530414316353,0.010448846560536282,0.04695324779276706,13.814212505700668,0.00021754070833906322,1.5671342757948525,-0.0009336202634531198,1433.3333333333335,0.011912772404316438,True,0.008116563316434622,0.02222672699512988,True,True,False,False,False,0,20,True,False,True,False,True,False
178,2026-08-08T17:45:31.799766,shadow,silero,webrtc,False,0.006570483557879925,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.028343260382208517,0.7385559440287355,0.20733314239116624,0.05411091354481658,,,,,,,,,,,,,,,True,temporal_v1,False,0.0005161943318962859,0.09812108559498957,3.9027387782710248,0.9111857249719627,80.65337053314491,1485.2687975437354,0.02093308342843427,0.005876497240654339,0.00153367971211991,0.0,0.0,0.018669195558773582,0.017556859312787644,0.0025043065968667058,0.010448846560536282,0.04309939212739372,13.893987554150813,0.000392521119913964,1.9477818245757503,-0.0011929832767251717,1400.0,0.00575556510093517,True,0.007728840922936797,0.018669195558773582,True,True,False,False,False,0,20,True,False,True,False,True,False
179,2026-08-08T17:45:31.809183,shadow,silero,webrtc,False,0.005680256523191929,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.015500465514059642,0.708748338750619,0.23742915827882366,0.05382250290604314,,,,,,,,,,,,,,,True,temporal_v1,False,0.00038279719200750076,0.08977035490605428,3.953820226735903,0.9082071940469579,78.02888345622446,1521.9429805177951,0.010985929182951031,0.0036802624799331146,0.0008342738501754965,0.0,0.0,0.02117018821689749,0.01977104309633218,0.0023522957906352083,0.007946917039947505,0.05132811634385879,13.1483923477123,0.0002649187379233241,1.2964463740229146,-0.0007675194661286698,1500.0,0.023512315611498594,True,0.0075006133411079645,0.02117018821689749,True,True,False,False,False,0,20,True,False,True,False,True,False
180,2026-08-08T17:45:31.820728,shadow,silero,webrtc,False,0.005541606806218624,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.019275593801772354,0.7293402125464377,0.21473128395257557,0.0559285034491078,,,,,,,,,,,,,,,True,temporal_v1,False,0.00042922368861557624,0.1127348643006263,3.9142269391149087,0.9088138385219788,79.0321794931528,1508.562698821813,0.014058465680343446,0.004139073006002885,0.001078055114426026,0.0,0.0,0.019950870954753376,0.0185896943025018,0.0025775719846705377,0.008957594134832957,0.049644472508301465,13.209466003301666,0.0003867489749685818,1.5348749775694466,-0.0009145307383477988,1433.3333333333335,0.013633976111742042,True,0.007425261661410332,0.019950870954753376,True,True,False,False,False,0,20,True,False,True,False,True,False
181,2026-08-08T17:45:31.832843,shadow,silero,webrtc,False,0.005128383170813322,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.015256136634206502,0.7526285202981964,0.19974233117835066,0.04762914845790557,,,,,,,,,,,,,,,True,temporal_v1,False,0.0003787922295818626,0.10647181628392484,3.817789875604304,0.9157017928441173,77.9725399776016,1475.2697377769985,0.011482203540469945,0.003047296296091843,0.0007266367966447133,0.0,0.0,0.018855990995990956,0.017128749578414013,0.002931940287229821,0.009185803757828808,0.050265477882931446,15.579079562097835,0.0003330840725893695,1.6729695508124829,-0.0010091868513347735,1400.0,0.009700240201324631,True,0.007218176499009132,0.018855990995990956,True,True,False,False,False,0,20,True,False,True,False,True,False
182,2026-08-08T17:45:31.843916,shadow,silero,webrtc,False,0.004641740117222071,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.016582554964385925,0.7384053393045246,0.20855209400968147,0.05304256662548968,,,,,,,,,,,,,,,True,temporal_v1,False,0.00039435923622192364,0.11064718162839249,3.850747991158449,0.9108096894626115,78.30146829906889,1498.8918242638708,0.012244647125013317,0.0034583265618533237,0.0008795812765192851,0.0,0.0,0.01737401037581491,0.016137239268875298,0.0025490517559681944,0.009484606840585006,0.04831969499527139,13.1453241973096,0.00048556518130623107,1.7055964202920344,-0.0010299502634348243,1433.3333333333335,0.009129775464704913,True,0.006790787447243929,0.01737401037581491,True,True,False,False,False,0,20,True,False,True,False,True,False
183,2026-08-08T17:45:31.854529,shadow,silero,webrtc,False,0.004832894541323185,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.013701197684373138,0.7127997448204646,0.2337063450237426,0.05349391008280644,,,,,,,,,,,,,,,True,temporal_v1,False,0.0003598081316585011,0.13569937369519833,3.937214392952641,0.9080378546571121,77.48615125849904,1497.98492151052,0.009766210213155914,0.0032020568332626117,0.0007329306369546124,0.0,0.0,0.017949680963472152,0.01649409122146849,0.002613529349633195,0.013600415427893385,0.05206984537318997,12.68560838357359,0.0006765247727996537,1.6018259431993493,-0.0009666720713095063,1500.0,0.012744506394690776,True,0.006125370040535927,0.017949680963472152,True,True,False,False,False,0,20,True,False,True,False,True,False
184,2026-08-08T17:45:31.867894,shadow,silero,webrtc,False,0.004479049239307642,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0160852793048929,0.714946562244934,0.2312120808303746,0.05384135686252275,,,,,,,,,,,,,,,True,temporal_v1,False,0.0003910647297323478,0.11064718162839249,3.886817743311115,0.9103004099564657,78.22571833337561,1502.937467358886,0.011500115141782761,0.0037191108988220488,0.0008660532632880905,0.0,0.0,0.017728654930232342,0.016542741168116083,0.0023318239460729576,0.013499092409459047,0.04955169547988144,12.551017941719932,0.000544149232961062,1.4550877015617654,-0.0008634822281910819,1466.6666666666667,0.015001186709594324,True,0.0056109316647052765,0.017728654930232342,True,True,False,False,False,0,20,True,False,True,False,True,False
185,2026-08-08T17:45:31.881754,shadow,silero,webrtc,False,0.0040219491347670555,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.014979569337910803,0.7195518387756886,0.2237111200329319,0.05673704112462191,,,,,,,,,,,,,,,True,temporal_v1,False,0.00037942126784093824,0.11064718162839249,3.908605798999427,0.9089044679119604,77.9547371706953,1502.2747968467945,0.010778576661161643,0.00335109623419499,0.0008498964415541707,0.0,0.0,0.015022572383505033,0.013709291579645316,0.0026155484158850374,0.012828635904582223,0.04546139219968254,12.410475527901625,0.00027254630443558886,1.6714982025195413,-0.0010065237824049232,1466.6666666666667,0.00985050964380436,True,0.005334994988515973,0.015022572383505033,True,True,False,False,False,0,20,True,False,True,False,True,False
186,2026-08-08T17:45:31.897984,shadow,silero,webrtc,False,0.003992994781583548,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.010254638375000567,0.759502868666018,0.18999682551858088,0.05050030571788412,,,,,,,,,,,,,,,True,temporal_v1,False,0.00031225208619677596,0.12943632567849686,3.8111704500853416,0.9151040338280624,76.27734990878639,1473.3131617889512,0.007788427262945564,0.0019483487380911265,0.0005178623729638751,0.0,0.0,0.016538964115615236,0.015254690652019063,0.0025780123298014333,0.012692011819265688,0.04511649437417988,14.105957344595604,0.0005795796091766038,1.745935867201995,-0.0010527768202767507,1366.6666666666667,0.008323194645689445,True,0.0049806388560682535,0.016538964115615236,False,True,False,False,False,0,20,True,False,True,False,True,False
187,2026-08-08T17:45:31.907795,shadow,silero,webrtc,False,0.003499578684568405,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.011438555777320296,0.7529477558693012,0.1967601563818794,0.05029208766139576,,,,,,,,,,,,,,,True,temporal_v1,False,0.0003278924534854985,0.09603340292275574,3.7773762099241655,0.9149800615826784,76.70551746816551,1492.457646770666,0.008612634902919147,0.0022506520235283916,0.0005752688498727572,0.0,0.0,0.017496814399894072,0.015742066133210653,0.0026037856350065993,0.013434363710393459,0.05578099284354791,14.1516323712822,0.0007988977622585964,1.7165178761148605,-0.0010344554131867963,1400.0,0.008700452462463348,True,0.004737317329272628,0.017496814399894072,False,True,False,False,False,0,20,True,False,True,False,True,False
188,2026-08-08T17:45:31.918637,shadow,silero,webrtc,False,0.0035835395101457834,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012664151151716017,0.7340557069177694,0.21332257513467412,0.052621717868593335,,,,,,,,,,,,,,,True,temporal_v1,False,0.00034623252559491674,0.07933194154488518,3.823572871436256,0.9107880160248134,77.16252947386123,1500.432165674348,0.009296192426186385,0.0027015493355788097,0.0006664093889508216,0.0,0.0,0.0173991098101218,0.01557802397337177,0.0025749756399764084,0.01603035809641124,0.05703521611998231,13.738643711915953,0.0011214632118831777,1.7956453361070135,-0.001087176379971653,1433.3333333333335,0.00744144698948216,True,0.004560394678264856,0.0173991098101218,False,True,False,False,False,0,20,True,False,True,False,True,False
189,2026-08-08T17:45:31.932142,shadow,silero,webrtc,False,0.00332075753249228,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.010768637820017054,0.7442954812743471,0.2089744134368911,0.046730105195899506,,,,,,,,,,,,,,,True,temporal_v1,False,0.00031900850032111317,0.11482254697286012,3.8104089990576746,0.9169812936667208,76.47411214759856,1477.866330844975,0.008015048468918729,0.0022503697719523856,0.0005032195781459388,0.0,0.0,0.015781827822663956,0.01369037548410771,0.0031135833648470203,0.014879774264054664,0.05144278251013458,12.13683941032581,0.0008219972372613659,1.4676039206430633,-0.0008771680500659135,1366.6666666666667,0.014523843916193312,True,0.004250499187037349,0.015781827822663956,False,True,False,False,False,0,20,True,False,True,False,True,False
190,2026-08-08T17:45:31.942169,shadow,silero,webrtc,False,0.0032104679848998785,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0059845342219832,0.7154063732735179,0.22418849429079654,0.06040513226858824,,,,,,,,,,,,,,,True,temporal_v1,False,0.0002372435005738772,0.12526096033402923,3.8989758062558924,0.9047309300047714,73.80864680771118,1518.7249851019149,0.004281373923480255,0.001341663716258157,0.00036149658124478803,0.0,0.0,0.01687227867608211,0.014160077500925187,0.0038655122707193963,0.015516412673120705,0.04982927641609693,13.719684993511873,0.0005396580314365495,1.6059667751615347,-0.0009575181477067307,1466.6666666666667,0.010999616450804012,True,0.0040074719581753016,0.01687227867608211,False,True,False,False,False,0,20,True,False,True,False,True,False
191,2026-08-08T17:45:31.953993,shadow,silero,webrtc,False,0.0029338146559894085,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.012111627250492025,0.732635374069361,0.21326951244019057,0.05409511340788316,,,,,,,,,,,,,,,False,temporal_v1,False,0.0003388943646298693,0.14613778705636743,3.84167206154556,0.9117500365495111,76.97938954723959,1488.009583249998,0.00887340656125289,0.00258304083856976,0.0006551798496693741,0.0,0.0,0.01574725457133292,0.013455987729833647,0.003516827924082705,0.018420176830713245,0.04867860329546315,12.452869672908847,0.0008534220789201969,1.588876569274434,-0.000953502093215802,1400.0,0.012027182192705212,True,0.0037882671458646655,0.01574725457133292,False,True,False,False,False,0,20,True,False,True,False,True,False
192,2026-08-08T17:45:31.964051,shadow,silero,webrtc,False,0.0029338146559894085,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006897831997454631,0.7402720460989348,0.18433132868486268,0.07539662507122938,,,,,,,,,,,,,,,False,temporal_v1,False,0.00025626885477723183,0.18789144050104384,3.7654513240804457,0.9077878254678462,74.5045134189914,1501.9908994843786,0.005106272206402442,0.0012714865371357725,0.000520073252916416,0.0,0.0,0.01582754744404524,0.016187693890987592,0.0075329392181234705,0.0282076755808844,0.05559744002883684,12.576615327754922,0.001099340974287949,1.5732722137575041,-0.0009375631335795013,1466.6666666666667,0.01090672756213288,True,0.0035415590973570943,0.01582754744404524,False,True,False,False,False,0,20,True,False,True,False,True,False
193,2026-08-08T17:45:31.977915,shadow,silero,webrtc,False,0.0026089251041412354,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00580021763420522,0.747629255049679,0.18342072560898534,0.06895001916892829,,,,,,,,,,,,,,,False,temporal_v1,False,0.00023460422169085355,0.1336116910229645,3.7221571977458647,0.9073455575905206,73.72218146335261,1501.8539518845816,0.0043364123889868605,0.0010638801271559539,0.00039992511706240586,0.0,0.0,0.014882033963315104,0.016455570177035726,0.008504010304738747,0.028124890282642537,0.05775569720972563,12.702936185948618,0.001613668757343171,1.5802270610312996,-0.0009464941517627145,1566.6666666666667,0.010667793034288954,True,0.0034101681085303426,0.014882033963315104,False,True,False,False,False,0,20,True,False,True,False,True,False
194,2026-08-08T17:45:31.994385,shadow,silero,webrtc,False,0.002688527340069413,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.004463788378746186,0.7178847213893049,0.2165619960275332,0.06555328235913681,,,,,,,,,,,,,,,False,temporal_v1,False,0.0002063138094597532,0.13987473903966596,3.7952358869122444,0.9089624512345894,72.59008481992306,1531.1017078794118,0.0032044854766170227,0.0009666869211457804,0.00029261597998338223,0.0,0.0,0.014484721496493984,0.014796015973783917,0.008795765981391408,0.02816824751412572,0.05432633227989194,16.489717716036967,0.0012450919748586203,1.212652528492189,-0.0007228238852556316,1533.3333333333335,0.026393624583125885,True,0.0032656127586960793,0.014484721496493984,False,True,False,False,False,0,20,True,False,True,False,True,False
195,2026-08-08T17:45:32.009711,shadow,silero,webrtc,False,0.0025012183468788862,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.004034648793704731,0.7002594231854861,0.22719172685840575,0.07254884970825497,,,,,,,,,,,,,,,False,temporal_v1,False,0.00019808408011566,0.11064718162839249,3.8836575984899104,0.9017524340654621,72.19314102254296,1527.1880549535224,0.0028253008370356923,0.0009166388267089616,0.00029270912896007677,0.0,0.0,0.01756084452858674,0.015255221228475824,0.009770748594432919,0.02816824751412572,0.05042436696887112,18.576120697216563,0.0009623440925600888,1.4821470128639709,-0.0008881439867370357,1566.6666666666667,0.015379937045030533,True,0.0030721413204446435,0.01756084452858674,False,True,False,False,False,0,20,True,False,True,False,True,False
196,2026-08-08T17:45:32.019635,shadow,silero,webrtc,False,0.002632490126416087,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.004966156874567234,0.7386907133795247,0.21161672013343066,0.0496925662856815,,,,,,,,,,,,,,,False,temporal_v1,False,0.00021663746069635915,0.11482254697286012,3.784592351655188,0.9127918063556291,73.04218949994562,1476.2732885187284,0.003668453964428701,0.001050921829464007,0.0002467810796745251,0.0,0.0,0.01559639271169079,0.014368343338134493,0.009849565745707388,0.02834639511063662,0.05114437023584509,18.146503679623354,0.001423651034245376,1.7146832841340713,-0.001038931569398679,1433.3333333333335,0.008800798335880468,True,0.0029338146559894085,0.01559639271169079,False,True,False,False,False,0,20,True,False,True,False,True,False
