frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
97,2026-08-16T20:33:12.521214,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.018395747989416122,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,1.9874695724229319,0.9618206772665197,0.021003086862356083,0.017176235870620945,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.9115893301944247,0.04174299606588854,0.03413724616161844,0.0,0.0,0.07316559220100069,,,,,,,,,,,True,0.014985451474785805,0.07316559220100069,True,True,True,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
98,2026-08-16T20:33:12.528646,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.01475217379629612,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,4.011630409579996,0.9864265179010938,0.008056008080119716,0.005517474018537244,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,3.957178616028134,0.03231772699403041,0.02213406655683155,0.0,0.0,0.07382426617776218,,,,,,,,,,,True,0.015229467302560806,0.07382426617776218,True,True,True,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
99,2026-08-16T20:33:12.534783,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.014460310339927673,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,2.5596358527529537,0.9843752258766229,0.010266968663142348,0.005357805459844053,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,2.519642120715591,0.026279701089270215,0.013714030947092363,0.0,0.0,0.07348933304039283,,,,,,,,,,,True,0.015229467302560806,0.07348933304039283,True,True,True,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
100,2026-08-16T20:33:12.541459,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.011238248087465763,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,1.5033069230692577,0.9788142377174616,0.014781646605083553,0.006404115676789685,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.4714582199594182,0.022221351675785296,0.009627351433054298,0.0,0.0,0.059174274954444654,,,,,,,,,,,True,0.014606242068111897,0.059174274954444654,True,True,True,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
101,2026-08-16T20:33:12.546222,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.010708276182413101,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.7142885149755545,0.9430140265995408,0.050209441167667186,0.006776532231392022,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.673584088660904,0.03586402716940546,0.004840399144244988,0.0,0.0,0.03572314809496993,,,,,,,,,,,True,0.014362226240336895,0.03572314809496993,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
102,2026-08-16T20:33:12.555437,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.008898472413420677,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.6528140359108211,0.9175570380324318,0.07446342137439306,0.007979540591643347,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5989941131763306,0.04861076663514564,0.005209156098344915,0.0,0.0,0.030086686909329016,,,,,,,,,,,True,0.014362226240336895,0.030086686909329016,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
103,2026-08-16T20:33:12.565043,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.007181123364716768,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.7225693179355225,0.9793868580167331,0.017023860006669677,0.0035892819752132584,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7076748939921652,0.012300918913649128,0.002593505028708109,0.0,0.0,0.02049194516483461,,,,,,,,,,,True,0.014264142140746117,0.02049194516483461,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
104,2026-08-16T20:33:12.572301,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.005666540469974279,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.793168681197348,0.9601560843841519,0.031017115513484492,0.008826800101103009,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7615657351945873,0.024601804606376298,0.0070011413953844906,0.0,0.0,0.020300849856941305,,,,,,,,,,,True,0.01275119511410594,0.020300849856941305,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
105,2026-08-16T20:33:12.579849,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0038783466443419456,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.5806731991810068,0.9756131891428488,0.021042654405780778,0.003344156449648318,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5665124317027627,0.012218905453065032,0.0019418620241790864,0.0,0.0,0.02043839216430156,,,,,,,,,,,True,0.010973262134939432,0.02043839216430156,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
106,2026-08-16T20:33:12.588701,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.004556717351078987,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.2549085112367677,0.943537387964585,0.04991303494244728,0.006549577089044999,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.24051571086228088,0.012723257428488004,0.0016695429449989036,0.0,0.0,0.021298212294028222,,,,,,,,,,,True,0.00980337429791689,0.021298212294028222,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
107,2026-08-16T20:33:12.595270,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0062893955036997795,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0985061930444906,0.9389927904733699,0.05336961904992044,0.007637590466557908,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.09249660508575469,0.005257237996842386,0.0007523499608935143,0.0,0.0,0.022499298019122507,,,,,,,,,,,True,0.008039797889068723,0.022499298019122507,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
108,2026-08-16T20:33:12.602167,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.007200786378234625,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.05726376420892129,0.9315342736962228,0.056535082518195515,0.011930643768118816,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.05334315900146925,0.003237411634853856,0.0006831935715981921,0.0,0.0,0.02226935614026721,,,,,,,,,,,True,0.0071909548714756966,0.02226935614026721,True,True,False,0.85,False,False,False,0,True,True,True,0,0,False,0,15,24,15,,,,False,False,False,
