frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
46,2026-08-09T13:52:36.756233,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0006690529407933354,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0012076431197066073,0.3008660010840293,0.6704955091260898,0.028638488961821817,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00036333875616276863,0.000809719288390301,3.4585074153537736e-05,0.0,0.0,0.1503921222265072,,,,,,,,,,,True,0.0007654122018720955,0.1503921222265072,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
47,2026-08-09T13:52:36.763640,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0006409473717212677,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00203295612943282,0.5655165758142635,0.40589597494460933,0.028587448749232587,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0011496703890974671,0.000825168710175754,5.8117029159599e-05,0.0,0.0,0.13962238699066568,,,,,,,,,,,True,0.000764107535360381,0.13962238699066568,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
48,2026-08-09T13:52:36.765157,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0006409473717212677,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0013992353996161442,0.49369574870571187,0.47600194773413074,0.03030230284548133,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006907965682290282,0.0006660387755558294,4.240005483128649e-05,0.0,0.0,0.12873618476069687,,,,,,,,,,,True,0.000764107535360381,0.12873618476069687,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
49,2026-08-09T13:52:36.772180,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.000626877008471638,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.001446915731089117,0.5857143946947939,0.3778528259877326,0.03643277862634829,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0008474793716092374,0.0005467211979581291,5.271516052175069e-05,0.0,0.0,0.12808035186423633,,,,,,,,,,,True,0.000735893176170066,0.12808035186423633,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
50,2026-08-09T13:52:36.779537,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005232829134911299,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0006636807913197079,0.491111299365617,0.47571285882782305,0.033175840299811576,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00032594113578902266,0.0003157214865878101,2.2018167942875205e-05,0.0,0.0,0.11871377604011076,,,,,,,,,,,True,0.0006812108913436532,0.11871377604011076,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
51,2026-08-09T13:52:36.786707,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005880900425836444,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0004963680716871939,0.4808640013942845,0.47449992393495855,0.044636072656122947,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0002386855371158691,0.00023552661225931555,2.215592131200923e-05,0.0,0.0,0.10379718362449837,,,,,,,,,,,True,0.0006550001562573016,0.10379718362449837,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
52,2026-08-09T13:52:36.791627,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005459673120640218,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00045188068664667354,0.6648807028426771,0.2645334195190907,0.07058587542525872,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0003004467485386718,0.00011953754325327927,3.189639385472247e-05,0.0,0.0,0.1029726737781068,,,,,,,,,,,True,0.0006409473717212677,0.1029726737781068,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
53,2026-08-09T13:52:36.800513,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005880556418560445,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0005535748015183862,0.6271247012554819,0.3204744083036052,0.05240088863447214,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00034716043202478065,0.0001774065569683905,2.9007811525214977e-05,0.0,0.0,0.10799574212222349,,,,,,,,,,,True,0.0006339121900964528,0.10799574212222349,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
54,2026-08-09T13:52:36.809400,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005550102214328945,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.000365008043619995,0.7013759381342349,0.23547396727296446,0.06315009185313501,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00025600785902051573,8.594989211774349e-05,2.3050291481735793e-05,0.0,0.0,0.11138844787629934,,,,,,,,,,,True,0.0006074835255276412,0.11138844787629934,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
55,2026-08-09T13:52:36.817201,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0004921642830595374,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0005219202520970885,0.6540603550921102,0.28657175214585867,0.05936789084602962,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0003413673454163854,0.00014956760112387092,3.098530455683221e-05,0.0,0.0,0.11290069195927585,,,,,,,,,,,True,0.0005880728422198445,0.11290069195927585,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
56,2026-08-09T13:52:36.822944,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005179548170417547,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00038384646254260694,0.5992857412575645,0.3455734934596264,0.055140762677600916,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00023003371183394017,0.0001326471630129683,2.116558669569852e-05,0.0,0.0,0.07418193159281618,,,,,,,,,,,True,0.0005715329316444695,0.07418193159281618,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
57,2026-08-09T13:52:36.828427,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005573868402279913,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0009163843214408735,0.6403200439612651,0.30894928725045173,0.05073066769703801,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0005867792489904342,0.0002831162829566467,4.648878849379262e-05,0.0,0.0,0.07546312421030792,,,,,,,,,,,True,0.0005561985308304429,0.07546312421030792,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
58,2026-08-09T13:52:36.835213,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0005159564316272736,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.00046051038253347573,0.47022094818171406,0.476556115037159,0.05322293460962322,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00021654162872241481,0.00021945903883442916,2.4509713976631752e-05,0.0,0.0,0.07883189584461257,,,,,,,,,,,True,0.0005504887667484581,0.07883189584461257,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
59,2026-08-09T13:52:36.845597,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.00045908550964668393,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0010574554827529827,0.6346026359031189,0.3127855643402493,0.05261179881096559,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.000671064036705248,0.0003307568099375824,5.563463511015241e-05,0.0,0.0,0.07983135062884025,,,,,,,,,,,True,0.0005346251127775759,0.07983135062884025,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
60,2026-08-09T13:52:36.853728,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0004379084275569767,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0005231926366807751,0.556526735366869,0.40560322865680487,0.03787003406498437,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00029117069005993616,0.00021220862264718904,1.9813322973649942e-05,0.0,0.0,0.07335441653071109,,,,,,,,,,,True,0.0005319610645528883,0.07335441653071109,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
61,2026-08-09T13:52:36.867134,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.00043871294474229217,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0005232915708891238,0.6407359597965736,0.32467215137594,0.03459188691650594,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00033529172692709945,0.00016989820011746704,1.8101642844557322e-05,0.0,0.0,0.06146804359274225,,,,,,,,,,,True,0.0005169556243345141,0.06146804359274225,False,True,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
