frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
193,2026-08-06T22:48:44.424941,shadow,silero,True,0.5645108222961426,True,False,True,False,1,0.3333333333333333,0.0034499857531793,0.18997912317327767,3.6123469825216104,0.0,0.0,1939.5933508707985,0.34995993560122807,0.9407328514172721,0.07203694291467493,0.0,0.0
194,2026-08-06T22:48:44.430280,shadow,silero,False,0.4160807430744171,True,False,True,False,1,0.3333333333333333,0.004171429968312816,0.1544885177453027,2.7755249076238973,0.0,0.0,1753.8869456010254,0.46787972042239645,1.49612790481634,0.037827375396874925,0.0,0.0
195,2026-08-06T22:48:44.440628,shadow,silero,False,0.3646635115146637,True,False,True,False,1,0.3333333333333333,0.0027985505660049707,0.1524008350730689,3.053325192022558,0.0,0.0,1562.5385939435043,0.37725804214063585,0.5045963425321648,0.017041060850129523,0.0,0.0
196,2026-08-06T22:48:44.448909,shadow,silero,False,0.3176030218601227,True,False,True,False,1,0.3333333333333333,0.003129845121321333,0.16075156576200417,3.0839610910606483,0.0,0.0,1646.3409033540752,0.4516715652791988,0.658886347464458,0.014648619703907857,0.0,0.0
197,2026-08-06T22:48:44.455667,shadow,silero,False,0.2317112684249878,True,False,True,False,1,0.3333333333333333,0.0020494670388829777,0.1544885177453027,3.334329046021043,0.0,0.0,1801.9363380837635,0.214835473339103,0.24918672793477384,0.015848866451014076,0.0,0.0
198,2026-08-06T22:48:44.465266,shadow,silero,False,0.217947855591774,True,False,True,False,1,0.3333333333333333,0.0017319336233061432,0.15866388308977036,3.203306604629883,0.0,0.0,1554.0406169648622,0.10419583169283794,0.22922611721609076,0.010093907649993274,0.0,0.0
199,2026-08-06T22:48:44.476089,shadow,silero,False,0.17135407030582428,True,False,True,False,1,0.3333333333333333,0.0021853699344495984,0.1544885177453027,3.1519072655568436,0.0,0.0,1469.336654160195,0.27460182522547827,0.2658574057027464,0.007211284300050985,0.0,0.0
200,2026-08-06T22:48:44.485096,shadow,silero,False,0.16899654269218445,True,False,True,False,1,0.3333333333333333,0.0015805080679845466,0.16075156576200417,3.529633268072292,0.0,0.0,1444.305666080542,0.12039790215709394,0.15735671431336049,0.0077925168451934606,0.0,0.0
201,2026-08-06T22:48:44.493623,shadow,silero,False,0.14225071668624878,True,False,True,False,1,0.3333333333333333,0.002169240664193023,0.12526096033402923,2.427603756718891,0.0,0.0,1571.178431619845,0.2558101063280707,0.2746442712520228,0.008931377080425636,0.0,0.0
202,2026-08-06T22:48:44.501339,shadow,silero,False,0.11526515334844589,True,False,True,False,1,0.3333333333333333,0.0014379528783228068,0.14613778705636743,3.1527306618363173,0.0,0.0,1541.4496920658885,0.1345296244141702,0.09490996459402551,0.005323639676485759,0.0,0.0
203,2026-08-06T22:48:44.508907,shadow,silero,False,0.1069439947605133,True,False,True,False,1,0.3333333333333333,0.0008988988103783775,0.14822546972860126,3.8013592503737588,0.0,0.0,1511.472980683826,0.057929433750238346,0.027856281507107523,0.003882964229968193,0.0,0.0
204,2026-08-06T22:48:44.516829,shadow,silero,False,0.11671280860900879,True,False,True,False,1,0.3333333333333333,0.0007743834816554082,0.1336116910229645,3.807713501616684,0.0,0.0,1500.049660552294,0.04650790821353084,0.01569117336121252,0.0026603835085985046,0.0,0.0
205,2026-08-06T22:48:44.525372,shadow,silero,False,0.12057340145111084,True,False,True,False,1,0.3333333333333333,0.0008689217844411937,0.1315240083507307,3.9198039645597706,0.0,0.0,1524.662711755203,0.05683415295515162,0.0196418161260215,0.0043566951700383045,0.0,0.0
206,2026-08-06T22:48:44.532486,shadow,silero,False,0.10746651142835617,True,False,True,False,1,0.3333333333333333,0.0012035415330092641,0.10855949895615867,3.882432837137021,0.0,0.0,1494.4956943348163,0.11395630023709373,0.03316429572328368,0.008170900104769648,0.0,0.0
