frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
263,2026-08-07T11:58:00.482592,shadow,silero,False,0.019898589700460434,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.10189823195566255,0.16209442042701794,0.8334386090264825,0.004466970546499517,0.8,True,0.046889882534742355,0.5,False,0,False,0,3,3,True,True,93,False,True,grouped_v1,False,0.0009417553193235194,0.15031315240083507,2.74447487180504,0.0,0.0,1439.8021130101552,0.01651713485139096,0.08492592070338527,0.0004551764008863205,0.0,0.0
264,2026-08-07T11:58:00.490054,shadow,silero,False,0.017332682386040688,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.027491694019158956,0.3581065191501784,0.6356729190406526,0.006220561809168948,0.8,True,0.04014977626502514,0.5,False,0,False,0,3,3,True,True,94,False,True,grouped_v1,False,0.0004911126438913,0.13569937369519833,3.249220457314693,0.0,0.0,1405.760787873946,0.009844954850742792,0.017475725386531225,0.0001710137818849386,0.0,0.0
265,2026-08-07T11:58:00.495052,shadow,silero,False,0.014821904711425304,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.014011022859903768,0.31594640652007455,0.6787088941167101,0.005344699363215339,0.8,True,0.032086726278066635,0.5,False,0,False,0,3,3,True,True,95,False,True,grouped_v1,False,0.0003512982168325083,0.12526096033402923,3.0120790588626765,0.0,0.0,1291.554080252587,0.004426732324257213,0.009509405830689231,7.488470495732323e-05,0.0,0.0
266,2026-08-07T11:58:00.499964,shadow,silero,False,0.014020946808159351,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.008233872740512526,0.31436552543280727,0.671499424834483,0.014135049732709848,0.8,True,0.025318145751953125,0.5,False,0,False,0,3,3,True,True,96,False,True,grouped_v1,False,0.00027119755855513486,0.12943632567849686,2.9850641711725685,0.0,0.0,1507.3107260411196,0.002588445730418089,0.005529040809414489,0.00011638620067994848,0.0,0.0
267,2026-08-07T11:58:00.504957,shadow,silero,False,0.01155824214220047,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.008220335691804557,0.31514392088144483,0.6672973465225541,0.017558732596001023,0.8,True,0.021251749247312546,0.5,False,0,False,0,3,3,True,True,97,False,True,grouped_v1,False,0.00027053394925992787,0.12108559498956159,2.885109013233274,0.0,0.0,1457.4597479743104,0.0025905888208769723,0.005485408194665825,0.0001443386762617593,0.0,0.0
268,2026-08-07T11:58:00.510533,shadow,silero,False,0.009472769685089588,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0027637177446823836,0.493728575193788,0.46358966157858456,0.04268176322762747,0.8,True,0.01861563604325056,0.5,False,0,False,0,3,3,True,True,98,False,True,grouped_v1,False,0.0001623170054755731,0.12317327766179541,3.601590187165106,0.0,0.0,1568.5193184823484,0.0013645264243198224,0.0012812309739560351,0.00011796034640652609,0.0,0.0
269,2026-08-07T11:58:00.516714,shadow,silero,False,0.008060874417424202,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0044005661114229185,0.733033929736007,0.22343173888603476,0.04353433137795844,0.8,True,0.016077293548732996,0.5,False,0,False,0,3,3,True,True,99,False,True,grouped_v1,False,0.00020744700558038593,0.11899791231732777,3.7256965555073145,0.0,0.0,1463.1428853155135,0.003225764269719441,0.0009832261383581789,0.0001915757033452993,0.0,0.0
270,2026-08-07T11:58:00.526339,shadow,silero,False,0.007399784401059151,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.005745324418602516,0.7193662133505636,0.22681420252359702,0.05381958412583933,0.8,True,0.014421425759792328,0.5,False,0,False,0,3,3,True,True,100,False,True,grouped_v1,False,0.00023500851326380828,0.09394572025052192,3.8902801243874268,0.0,0.0,1529.1698210410461,0.00413299227148062,0.0013031211762446783,0.00030921097087721703,0.0,0.0
271,2026-08-07T11:58:00.536776,shadow,silero,False,0.00593775836750865,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0074622261951707266,0.688980760222438,0.2566360560775467,0.05438318370001526,0.8,True,0.01278959447517991,0.5,False,0,False,0,3,3,True,True,101,False,True,grouped_v1,False,0.0002658772765423895,0.1732776617954071,3.862440663940086,0.0,0.0,1511.805710584994,0.0051413302769005185,0.0019150763002871724,0.0004058196179830356,0.0,0.0
272,2026-08-07T11:58:00.538769,shadow,silero,False,0.00593775836750865,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.009466892201713484,0.6813082660082318,0.2717044603201721,0.04698727367159606,0.8,True,0.010515505913645029,0.5,False,0,False,0,3,3,True,True,102,False,True,grouped_v1,False,0.0002997193537713219,0.11899791231732777,3.963410352163572,0.0,0.0,1513.1716319670682,0.006449871910436266,0.002572196836575808,0.00044482345470141005,0.0,0.0
