frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
136,2026-08-07T11:59:13.754798,shadow,silero,False,0.002057909034192562,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.18756310749792676,0.17849814415723583,0.8008435837878001,0.02065827205496417,0.8,True,0.0002488533646101132,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0012809222173971162,0.1837160751565762,3.378944689061695,0.0,0.0,1568.1354465168633,0.03347966660074405,0.15020871119501605,0.003874729702166661,0.0,0.0
137,2026-08-07T11:59:13.763471,shadow,silero,False,0.003021483775228262,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.3756751312180466,0.08473344394863713,0.881043093891792,0.03422346215957078,0.8,True,0.00026062763936351985,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0018081406465537424,0.16075156576200417,3.4412726291389677,0.0,0.0,1714.49211642407,0.03183224767396125,0.3309859799065527,0.012856903637532606,0.0,0.0
138,2026-08-07T11:59:13.769924,shadow,silero,False,0.0023162388242781162,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.41674756616367087,0.10836635227385745,0.8611318088491174,0.030501838877025005,0.8,True,0.00045634162961505353,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.001904138218120273,0.1837160751565762,3.3110184338401547,0.0,0.0,1726.7952078734866,0.04516141356416507,0.35887458548398915,0.012711567115516607,0.0,0.0
139,2026-08-07T11:59:13.778720,shadow,silero,False,0.0030832334887236357,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.09991337757546781,0.279998204989693,0.6449612618011336,0.07504053320917344,0.8,True,0.0007003273349255323,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0009393430896279245,0.20250521920668058,3.8392740593278116,0.0,0.0,1721.4801018694634,0.027975566375588436,0.0644402580718868,0.007497553127992577,0.0,0.0
140,2026-08-07T11:59:13.790011,shadow,silero,False,0.004807509481906891,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.027187745648532973,0.5263810774336881,0.38947525195836724,0.08414367060794459,0.8,True,0.0014080057153478265,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0005021402777401066,0.1732776617954071,4.006339500983058,0.0,0.0,1770.469760286976,0.014311114847467853,0.010588954086642382,0.0022876767144227373,0.0,0.0
141,2026-08-07T11:59:13.799053,shadow,silero,False,0.0064670490100979805,True,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.03202090422455696,0.49296828604382154,0.43141161732702965,0.07562009662914879,0.8,True,0.002187073929235339,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0005375008912367442,0.1941544885177453,3.9431951193900883,0.0,0.0,1698.1870545329575,0.01578529027315321,0.013814190079790034,0.002421423871613716,0.0,0.0
142,2026-08-07T11:59:13.807068,shadow,silero,False,0.04127718508243561,True,False,True,False,3,0.0,0.005,True,2,0,False,0.08,True,1280.0,True,True,2.6,True,0.023191936297616886,0.5593215810378522,0.29222485580523816,0.1484535631569097,0.8,True,0.002668861299753189,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0004728638745074048,0.2755741127348643,4.21585662167743,0.0,0.0,2123.4176219815286,0.012971750477312229,0.006777260240415363,0.003442925579889295,0.0,0.0
143,2026-08-07T11:59:13.815782,shadow,silero,False,0.03594192489981651,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.02923110173034979,0.5789744405609668,0.2621344140404017,0.15889114539863144,0.8,True,0.003052358631975949,0.5,False,0,False,0,3,3,True,True,1,False,True,grouped_v1,False,0.0005314339670896794,0.33402922755741127,4.323221285794887,0.0,0.0,2047.404133847426,0.01692406077130998,0.007662477723840615,0.004644563235199196,0.0,0.0
144,2026-08-07T11:59:13.817960,shadow,silero,False,0.03594192489981651,True,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.02647311811629903,0.7235486682932821,0.1758972321373851,0.10055409956933276,0.8,True,0.003945371485315263,0.5,False,0,False,0,3,3,True,True,2,False,True,grouped_v1,False,0.0004969954998462071,0.2839248434237996,4.02346010529447,0.0,0.0,2023.7266194880835,0.019154589358618926,0.004656548202703065,0.0026619805549770396,0.0,0.0
145,2026-08-07T11:59:13.824748,shadow,silero,False,0.05630283057689667,True,True,True,False,2,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.17884294683647756,0.8300825009399452,0.1337119444973671,0.036205554562687654,0.8,False,0.005637279246002436,0.5,False,0,False,0,2,2,True,True,3,False,True,grouped_v1,False,0.0012903377495189546,0.13778705636743216,3.192394947387261,0.0,0.0,1542.1811911041477,0.14845440058549295,0.02391343818114466,0.006475108069839936,0.0,0.0
