stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,low_proportion_std,segment,0.02644460395072354,1.3595759568217378,0.875,0.75,shared_histogram_mass,0.11962466773265128,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,mid_proportion_std,segment,0.0507445118779659,2.683044475253415,1.0,0.5,shared_histogram_mass,0.1334639541256192,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_proportion_std,segment,0.03130978065371919,2.7176681395801894,1.0,0.24999999999999997,shared_histogram_mass,0.03550176587383468,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr_std,segment,0.003948433574081117,1.186482066630185,0.625,0.5,shared_histogram_mass,0.030950664184820113,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,entropy_std,segment,-0.3372627706058594,-16.99086606861585,0.0,0.0,shared_histogram_mass,0.29925776915309227,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_centroid_std,segment,-72.48371012094287,-3.255249233546874,0.0,0.0,shared_histogram_mass,160.25007949436448,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_flux,segment,-0.011801488370101027,-2.8995695417330047,0.0,0.5,shared_histogram_mass,0.006694598556277275,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,cepstral_peak_prominence,segment,0.3007786586216863,7.64242286787565,1.0,0.0,shared_histogram_mass,1.287805228490464,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_slope,segment,-0.00016165655776579605,-6.783708276254508,0.0,0.0,shared_histogram_mass,-0.0007627009227496914,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_rolloff,segment,886.8999582534275,6.467625619645891,1.0,0.0,shared_histogram_mass,1803.0030030030032,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_flatness,segment,0.006237786424680784,2.2727377074478254,1.0,0.49999999999999994,shared_histogram_mass,0.013078424516750986,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_all_non_whisper,is_speech,segment,0.0,0.0,0.5294117647058824,0.8823529411764706,shared_histogram_mass,0.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,speech_gate_open,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_evaluated,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_is_speech,segment,0.667055692055692,2.191010375633903,0.7058823529411765,0.3088235294117647,shared_histogram_mass,0.6407185628742516,>=,0.36363636363636365,1.0,0.5333333333333333,10,7,0,4,"[[10, 7], [0, 4]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_aggressiveness,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,is_whisper,segment,0.6707381886943816,2.3605425160858005,0.7941176470588235,0.3529411764705882,shared_histogram_mass,0.5444444444444444,>=,0.4,1.0,0.5714285714285715,11,6,0,4,"[[11, 6], [0, 4]]"
whisper,whisper_vs_all_non_whisper,whisper_processed,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,trigger,segment,0.0029940119760479044,0.28505530914001215,0.6470588235294118,0.8823529411764706,shared_histogram_mass,0.005988023952095809,>=,0.5,0.5,0.5,15,2,2,2,"[[15, 2], [2, 2]]"
whisper,whisper_vs_all_non_whisper,stage1_silero_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,0.005,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
whisper,whisper_vs_all_non_whisper,stage1_silero_low_pass,segment,0.4256221323586593,1.4156544871625598,0.7352941176470589,0.5441176470588236,shared_histogram_mass,0.6681818181818182,>=,0.42857142857142855,0.75,0.5454545454545454,13,4,1,3,"[[13, 4], [1, 3]]"
whisper,whisper_vs_all_non_whisper,stage1_enter_count,segment,0.020069993457621865,0.1577882199562901,0.6323529411764706,0.7647058823529411,shared_histogram_mass,0.02702702702702703,>=,0.36363636363636365,1.0,0.5333333333333333,10,7,0,4,"[[10, 7], [0, 4]]"
whisper,whisper_vs_all_non_whisper,stage1_exit_count,segment,0.5236799129014698,1.061151272256708,0.6470588235294118,0.7941176470588234,shared_histogram_mass,0.45454545454545453,>=,0.3333333333333333,0.75,0.46153846153846156,11,6,1,3,"[[11, 6], [1, 3]]"
whisper,whisper_vs_all_non_whisper,stage1_candidate,segment,0.5721062878413316,1.881093766708179,0.7205882352941176,0.47058823529411764,shared_histogram_mass,0.5444444444444444,>=,0.3333333333333333,1.0,0.5,9,8,0,4,"[[9, 8], [0, 4]]"
whisper,whisper_vs_all_non_whisper,zcr_threshold,segment,0.0,,0.5,1.0,shared_histogram_mass,0.08,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
