frame,timestamp,is_whisper,trigger,raw_score,probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
53,2026-07-30T18:37:03.540110,False,False,1,0.3333333333333333,7.298695410508848e-05,0.15031315240083507,3.6913535909129385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2026-07-30T18:37:03.541155,False,False,1,0.3333333333333333,8.762620444247635e-05,0.1022964509394572,3.379034069951741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2026-07-30T18:37:03.542043,False,False,1,0.3333333333333333,0.00012640186448646787,0.1649269311064718,4.481419089418474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2026-07-30T18:37:03.542901,False,False,1,0.3333333333333333,0.00022327139490238728,0.20668058455114824,4.162191316368738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2026-07-30T18:37:03.543758,False,False,1,0.3333333333333333,0.0004279165340021514,0.19832985386221294,3.6769914492984004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2026-07-30T18:37:03.544600,False,False,1,0.3333333333333333,0.0001626502935587578,0.16910229645093947,3.7530197423129783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2026-07-30T18:37:03.545536,False,False,1,0.3333333333333333,0.00025604225661448866,0.21711899791231734,3.647155684548246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2026-07-30T18:37:03.546563,False,False,1,0.3333333333333333,0.00030726255728724623,0.18789144050104384,3.8594462461645653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2026-07-30T18:37:03.547620,False,False,1,0.3333333333333333,0.0003141057714399585,0.18162839248434237,3.5588231751293735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2026-07-30T18:37:03.548641,False,False,1,0.3333333333333333,0.00019091264893109322,0.17954070981210857,3.7228591743352752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2026-07-30T18:37:03.549670,False,False,1,0.3333333333333333,0.00014684704685230624,0.16910229645093947,3.583841870210689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2026-07-30T18:37:03.550635,False,False,1,0.3333333333333333,0.00012800388607270706,0.1544885177453027,3.8601233015992134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2026-07-30T18:37:03.551726,False,False,1,0.3333333333333333,0.0001234834302679716,0.16701461377870563,3.716847168431505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2026-07-30T18:37:03.552815,False,False,1,0.3333333333333333,0.00011862158728040043,0.15866388308977036,3.864919647081621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2026-07-30T18:37:03.553763,False,False,1,0.3333333333333333,9.523339478461147e-05,0.162839248434238,3.9399566485368993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2026-07-30T18:37:03.554651,False,False,1,0.3333333333333333,0.00010588883175673346,0.1419624217118998,3.758470758710136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2026-07-30T18:37:03.555680,False,False,1,0.3333333333333333,0.00010951695835795265,0.15866388308977036,3.835617746268591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2026-07-30T18:37:03.556624,False,False,1,0.3333333333333333,9.019608643175203e-05,0.13987473903966596,3.7887642310495013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2026-07-30T18:37:03.557550,False,False,1,0.3333333333333333,0.00011753779204362973,0.14822546972860126,3.7957089915978797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2026-07-30T18:37:03.558702,False,False,1,0.3333333333333333,0.00013946342594475258,0.13987473903966596,3.580615475158667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2026-07-30T18:37:03.559738,False,False,1,0.3333333333333333,0.00013763414920102426,0.12526096033402923,3.688486854330675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2026-07-30T18:37:03.560666,False,False,1,0.3333333333333333,0.00017055113240872346,0.1315240083507307,3.7408872994095437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2026-07-30T18:37:03.561565,False,False,1,0.3333333333333333,0.00020197622710095968,0.13569937369519833,3.9655156297272023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2026-07-30T18:37:03.562459,False,False,1,0.3333333333333333,0.0001955550264653659,0.16701461377870563,3.8096839635504653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2026-07-30T18:37:03.563437,False,False,1,0.3333333333333333,0.00030576783692693463,0.11064718162839249,3.827757562627991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2026-07-30T18:37:03.564361,False,False,1,0.3333333333333333,0.0002939487931684371,0.16701461377870563,3.9272421021622175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2026-07-30T18:37:03.565298,False,False,1,0.3333333333333333,0.000456007732051704,0.23173277661795408,3.901116755876242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2026-07-30T18:37:03.566227,False,False,1,0.3333333333333333,0.0008893922309210169,0.22964509394572025,3.705434028743343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2026-07-30T18:37:03.567294,False,False,1,0.3333333333333333,0.0015298993714967107,0.22338204592901878,3.724264915090899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2026-07-30T18:37:03.568313,False,False,1,0.3333333333333333,0.0021290337170911055,0.16075156576200417,3.246021466260993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2026-07-30T18:37:03.569459,False,False,1,0.3333333333333333,0.0013746462791594943,0.19206680584551147,3.615927044887058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2026-07-30T18:37:03.570588,False,False,1,0.3333333333333333,0.0014116137092404794,0.17745302713987474,3.3998103380608553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2026-07-30T18:37:03.572170,False,False,1,0.3333333333333333,0.0030855744031099844,0.17536534446764093,2.9807055715365527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2026-07-30T18:37:03.573364,False,False,1,0.3333333333333333,0.0027802926958160066,0.22338204592901878,3.442299071802142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2026-07-30T18:37:03.574652,False,False,1,0.3333333333333333,0.0025221081063828226,0.21294363256784968,3.6795307097312966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
